"No.","Time","Source","Destination","Protocol","Length","Info"
"66","0.015797","192.168.1.19","142.251.2.84","TLSv1.3","4061","Application Data"
"67","0.036640","142.251.2.84","192.168.1.19","TCP","60","443  >  56940 [ACK] Seq=4343 Ack=598 Win=66816 Len=0"
"68","0.008368","142.251.2.84","192.168.1.19","TCP","60","443  >  56940 [ACK] Seq=4343 Ack=2010 Win=69632 Len=0"
"69","0.000000","142.251.2.84","192.168.1.19","TCP","60","443  >  56940 [ACK] Seq=4343 Ack=3422 Win=72448 Len=0"
"70","0.000704","142.251.2.84","192.168.1.19","TCP","60","443  >  56940 [ACK] Seq=4343 Ack=4605 Win=75264 Len=0"
"71","0.041841","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.78? Tell 209.33.217.65"
"72","0.000000","192.168.1.34","224.0.0.251","MDNS","91","Standard query 0x0000 PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question"
"73","0.000000","fe80::c7c:71ae:536b:9e17","ff02::fb","MDNS","111","Standard query 0x0000 PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question"
"74","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.182? Tell 209.33.202.177"
"75","0.000000","192.168.1.1","224.0.0.1","IGMPv3","50","Membership Query, general"
"76","0.045044","142.251.2.84","192.168.1.19","TLSv1.3","1466","Application Data"
"77","0.001085","142.251.2.84","192.168.1.19","TCP","1466","443  >  56940 [PSH, ACK] Seq=5755 Ack=4605 Win=75264 Len=1412 [TCP segment of a reassembled PDU]"
"78","0.000000","142.251.2.84","192.168.1.19","TLSv1.3","391","Application Data, Application Data"
"79","0.000000","142.251.2.84","192.168.1.19","TLSv1.3","177","Application Data"
"80","0.000000","142.251.2.84","192.168.1.19","TLSv1.3","81","Application Data"
"81","0.000064","192.168.1.19","142.251.2.84","TCP","54","56940  >  443 [ACK] Seq=4605 Ack=7654 Win=131072 Len=0"
"82","0.361358","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.69? Tell 209.33.217.65"
"83","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.184? Tell 209.33.202.177"
"84","0.000000","192.168.1.102","224.0.0.251","MDNS","124","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"85","0.000000","fe80::10ba:ac04:f83d:2539","ff02::fb","MDNS","144","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"86","0.307043","192.168.1.19","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"87","0.103212","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.180? Tell 209.33.202.177"
"88","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.179? Tell 209.33.202.177"
"89","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.78? Tell 209.33.217.65"
"90","0.316920","192.168.1.19","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"91","0.092300","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.182? Tell 209.33.202.177"
"92","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.189? Tell 209.33.202.177"
"93","0.394670","192.168.1.19","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"94","0.015300","0.0.0.0","255.255.255.255","MNDP","174","5678  >  5678 Len=132"
"95","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.184? Tell 209.33.202.177"
"96","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.180? Tell 209.33.202.177"
"97","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.179? Tell 209.33.202.177"
"98","0.049911","192.168.1.19","142.250.68.42","TLSv1.2","848","Application Data"
"99","0.013759","192.168.1.19","142.250.68.10","TCP","54","56910  >  443 [FIN, ACK] Seq=1 Ack=83 Win=255 Len=0"
"100","0.015867","192.168.1.19","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"101","0.025856","142.250.68.42","192.168.1.19","TCP","60","443  >  56271 [ACK] Seq=1 Ack=795 Win=310 Len=0"
"102","0.013195","Netgear_42:71:eb","Intel_16:56:70","ARP","60","Who has 192.168.1.19? Tell 192.168.1.1"
"103","0.000000","142.250.68.42","192.168.1.19","TLSv1.2","539","Application Data"
"104","0.000027","Intel_16:56:70","Netgear_42:71:eb","ARP","42","192.168.1.19 is at 70:1a:b8:16:56:70"
"105","0.001688","142.250.68.10","192.168.1.19","TCP","60","443  >  56910 [ACK] Seq=83 Ack=2 Win=305 Len=0"
"106","0.021932","192.168.1.19","142.251.40.42","TCP","66","56942  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"107","0.029838","192.168.1.19","142.250.68.42","TCP","54","56271  >  443 [ACK] Seq=795 Ack=486 Win=509 Len=0"
"108","0.027986","142.251.40.42","192.168.1.19","TCP","66","443  >  56942 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"109","0.000068","192.168.1.19","142.251.40.42","TCP","54","56942  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"110","0.003705","192.168.1.19","142.251.40.42","TLSv1.3","571","Client Hello (SNI=signaler-pa.clients6.google.com)"
"111","0.054747","142.251.40.42","192.168.1.19","TCP","60","443  >  56942 [ACK] Seq=1 Ack=518 Win=66816 Len=0"
"112","0.008161","142.251.40.42","192.168.1.19","TLSv1.3","8526","Server Hello, Change Cipher Spec"
"113","0.000072","192.168.1.19","142.251.40.42","TCP","54","56942  >  443 [ACK] Seq=518 Ack=8473 Win=131072 Len=0"
"114","0.000905","142.251.40.42","192.168.1.19","TLSv1.3","1422","Application Data"
"115","0.028396","192.168.1.19","142.251.40.42","TLSv1.3","134","Change Cipher Spec, Application Data"
"116","0.003700","192.168.1.19","142.251.40.42","TLSv1.3","2964","Application Data"
"117","0.061338","142.251.40.42","192.168.1.19","TCP","60","443  >  56942 [ACK] Seq=9841 Ack=598 Win=66816 Len=0"
"118","0.000000","142.251.40.42","192.168.1.19","TCP","60","443  >  56942 [ACK] Seq=9841 Ack=2010 Win=69632 Len=0"
"119","0.000000","142.251.40.42","192.168.1.19","TCP","60","443  >  56942 [ACK] Seq=9841 Ack=3422 Win=72448 Len=0"
"120","0.000000","142.251.40.42","192.168.1.19","TCP","60","443  >  56942 [ACK] Seq=9841 Ack=3508 Win=72448 Len=0"
"121","0.007430","142.250.68.10","192.168.1.19","TLSv1.2","100","Application Data"
"122","0.000000","142.250.68.10","192.168.1.19","TLSv1.2","81","Application Data"
"123","0.000073","192.168.1.19","142.250.68.10","TCP","54","56910  >  443 [RST, ACK] Seq=2 Ack=129 Win=0 Len=0"
"124","0.001205","142.251.40.42","192.168.1.19","TLSv1.3","1235","Application Data, Application Data"
"125","0.000227","142.250.68.10","192.168.1.19","TCP","60","443  >  56910 [FIN, ACK] Seq=156 Ack=2 Win=305 Len=0"
"126","0.048370","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.189? Tell 209.33.202.177"
"127","0.005542","192.168.1.19","142.251.40.42","TCP","54","56942  >  443 [ACK] Seq=3508 Ack=11022 Win=131072 Len=0"
"128","0.377383","192.168.1.19","34.236.182.90","TLSv1.2","732","Application Data"
"129","0.018359","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.184? Tell 209.33.202.177"
"130","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.180? Tell 209.33.202.177"
"131","0.071553","34.236.182.90","192.168.1.19","TLSv1.2","443","Application Data"
"132","0.000607","34.236.182.90","192.168.1.19","TLSv1.2","88","Application Data"
"133","0.000121","192.168.1.19","34.236.182.90","TCP","54","56932  >  443 [ACK] Seq=679 Ack=424 Win=253 Len=0"
"134","0.146136","192.168.1.19","142.251.40.35","TLSv1.2","832","Application Data"
"135","0.000088","192.168.1.19","142.250.68.42","TLSv1.2","848","Application Data"
"136","0.014691","192.168.1.19","142.250.68.10","TCP","54","56913  >  443 [FIN, ACK] Seq=1 Ack=83 Win=255 Len=0"
"137","0.031031","192.168.1.19","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"138","0.007721","142.251.40.35","192.168.1.19","TCP","60","443  >  56309 [ACK] Seq=1 Ack=779 Win=417 Len=0"
"139","0.000000","142.250.68.42","192.168.1.19","TCP","60","443  >  56271 [ACK] Seq=486 Ack=1589 Win=310 Len=0"
"140","0.005278","142.251.40.35","192.168.1.19","TLSv1.2","861","Application Data"
"141","0.008689","142.250.68.42","192.168.1.19","TLSv1.2","539","Application Data"
"142","0.005473","142.250.68.10","192.168.1.19","TCP","60","443  >  56913 [ACK] Seq=83 Ack=2 Win=305 Len=0"
"143","0.023715","192.168.1.19","142.251.40.42","TCP","66","56944  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"144","0.012094","192.168.1.19","142.251.40.35","TCP","54","56309  >  443 [ACK] Seq=779 Ack=808 Win=512 Len=0"
"145","0.000622","192.168.1.19","142.250.68.42","TCP","54","56271  >  443 [ACK] Seq=1589 Ack=971 Win=512 Len=0"
"146","0.040742","142.251.40.42","192.168.1.19","TCP","66","443  >  56944 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"147","0.000229","192.168.1.19","142.251.40.42","TCP","54","56944  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"148","0.006355","192.168.1.19","142.251.40.42","TLSv1.3","571","Client Hello (SNI=signaler-pa.clients6.google.com)"
"149","0.042442","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.179? Tell 209.33.202.177"
"150","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.78? Tell 209.33.217.65"
"151","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.186? Tell 209.33.202.177"
"152","0.007379","142.251.40.42","192.168.1.19","TCP","60","443  >  56944 [ACK] Seq=1 Ack=518 Win=66816 Len=0"
"153","0.003538","142.251.40.42","192.168.1.19","TLSv1.3","4290","Server Hello, Change Cipher Spec"
"154","0.000207","192.168.1.19","142.251.40.42","TCP","54","56944  >  443 [ACK] Seq=518 Ack=4237 Win=131072 Len=0"
"155","0.000221","142.251.40.42","192.168.1.19","TCP","4290","443  >  56944 [PSH, ACK] Seq=4237 Ack=518 Win=66816 Len=4236 [TCP segment of a reassembled PDU]"
"156","0.000000","142.251.40.42","192.168.1.19","TLSv1.3","1422","Application Data"
"157","0.000159","192.168.1.19","142.251.40.42","TCP","54","56944  >  443 [ACK] Seq=518 Ack=9841 Win=131072 Len=0"
"158","0.045555","192.168.1.19","142.251.40.42","TLSv1.3","134","Change Cipher Spec, Application Data"
"159","0.013185","192.168.1.19","142.251.40.42","TLSv1.3","2964","Application Data"
"160","0.039096","142.251.40.42","192.168.1.19","TCP","60","443  >  56944 [ACK] Seq=9841 Ack=598 Win=66816 Len=0"
"161","0.006785","142.251.40.42","192.168.1.19","TCP","60","443  >  56944 [ACK] Seq=9841 Ack=2010 Win=69632 Len=0"
"162","0.000000","142.251.40.42","192.168.1.19","TCP","60","443  >  56944 [ACK] Seq=9841 Ack=3422 Win=72448 Len=0"
"163","0.000000","142.251.40.42","192.168.1.19","TCP","60","443  >  56944 [ACK] Seq=9841 Ack=3508 Win=72448 Len=0"
"164","0.019863","142.250.68.10","192.168.1.19","TLSv1.2","100","Application Data"
"165","0.000000","142.250.68.10","192.168.1.19","TLSv1.2","81","Application Data"
"166","0.000125","192.168.1.19","142.250.68.10","TCP","54","56913  >  443 [RST, ACK] Seq=2 Ack=129 Win=0 Len=0"
"167","0.000409","142.251.40.42","192.168.1.19","TLSv1.3","1235","Application Data, Application Data"
"168","0.000407","142.250.68.10","192.168.1.19","TCP","60","443  >  56913 [FIN, ACK] Seq=156 Ack=2 Win=305 Len=0"
"169","0.040680","192.168.1.19","142.251.40.42","TCP","54","56944  >  443 [ACK] Seq=3508 Ack=11022 Win=130048 Len=0"
"170","0.078850","192.168.1.19","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"171","0.144777","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.189? Tell 209.33.202.177"
"172","0.410282","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.78? Tell 209.33.217.65"
"173","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.186? Tell 209.33.202.177"
"174","0.012788","192.168.1.19","142.251.40.35","TCP","66","56946  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"175","0.000998","192.168.1.19","142.251.40.35","TLSv1.2","832","Application Data"
"176","0.000269","192.168.1.19","142.251.40.35","TLSv1.2","831","Application Data"
"177","0.000183","192.168.1.19","142.251.40.35","TLSv1.2","832","Application Data"
"178","0.000359","192.168.1.19","142.251.40.35","TLSv1.2","830","Application Data"
"179","0.026439","192.168.1.19","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"180","0.031084","142.251.40.35","192.168.1.19","TCP","60","443  >  56310 [ACK] Seq=1 Ack=779 Win=350 Len=0"
"181","0.003689","142.251.40.35","192.168.1.19","TCP","60","443  >  56309 [ACK] Seq=808 Ack=1556 Win=417 Len=0"
"182","0.000576","142.251.40.35","192.168.1.19","TLSv1.2","861","Application Data"
"183","0.000562","142.251.40.35","192.168.1.19","TCP","66","443  >  56946 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"184","0.000212","192.168.1.19","142.251.40.35","TCP","54","56946  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"185","0.000985","142.251.40.35","192.168.1.19","TCP","60","443  >  56055 [ACK] Seq=1 Ack=779 Win=417 Len=0"
"186","0.001320","142.251.40.35","192.168.1.19","TLSv1.2","876","Application Data"
"187","0.000459","142.251.40.35","192.168.1.19","TCP","60","443  >  56056 [ACK] Seq=1 Ack=777 Win=365 Len=0"
"188","0.001145","142.251.40.35","192.168.1.19","TLSv1.2","861","Application Data"
"189","0.001914","142.251.40.35","192.168.1.19","TLSv1.2","876","Application Data"
"190","0.005818","192.168.1.19","142.251.40.35","TLSv1.3","571","Client Hello (SNI=ssl.gstatic.com)"
"191","0.017639","192.168.1.19","142.251.40.35","TLSv1.2","832","Application Data"
"192","0.013739","192.168.1.19","142.251.40.35","TCP","54","56310  >  443 [ACK] Seq=779 Ack=808 Win=512 Len=0"
"193","0.015145","192.168.1.19","142.251.40.35","TCP","54","56309  >  443 [ACK] Seq=1556 Ack=1630 Win=509 Len=0"
"194","0.000021","192.168.1.19","142.251.40.35","TCP","54","56055  >  443 [ACK] Seq=779 Ack=808 Win=509 Len=0"
"195","0.003058","142.251.40.35","192.168.1.19","TCP","60","443  >  56946 [ACK] Seq=1 Ack=518 Win=66816 Len=0"
"196","0.008178","142.251.40.35","192.168.1.19","TLSv1.3","4290","Server Hello, Change Cipher Spec"
"197","0.000000","142.251.40.35","192.168.1.19","TLSv1.3","160","Application Data"
"198","0.000218","192.168.1.19","142.251.40.35","TCP","54","56946  >  443 [ACK] Seq=518 Ack=4343 Win=131072 Len=0"
"199","0.008916","142.251.40.35","192.168.1.19","TCP","60","443  >  56056 [ACK] Seq=823 Ack=1555 Win=372 Len=0"
"200","0.003003","142.251.40.35","192.168.1.19","TLSv1.2","861","Application Data"
"201","0.028591","192.168.1.19","142.251.40.35","TLSv1.3","134","Change Cipher Spec, Application Data"
"202","0.026280","192.168.1.19","142.251.40.35","TCP","54","56056  >  443 [ACK] Seq=1555 Ack=1630 Win=512 Len=0"
"203","0.026270","142.251.40.35","192.168.1.19","TCP","60","443  >  56946 [ACK] Seq=4343 Ack=598 Win=66816 Len=0"
"204","0.987412","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.217.78? Tell 209.33.217.65"
"205","0.000000","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.186? Tell 209.33.202.177"
"206","0.408990","Routerboardc_64:1a:b5","Broadcast","ARP","60","Who has 209.33.202.188? Tell 209.33.202.177"
"207","0.357402","192.168.1.19","142.250.68.42","TLSv1.2","846","Application Data"
"208","0.002731","142.251.2.189","192.168.1.19","TLSv1.2","169","Application Data"
"209","0.000000","142.251.2.189","192.168.1.19","TLSv1.2","81","Application Data"
"210","0.000130","192.168.1.19","142.251.2.189","TCP","54","56430  >  443 [ACK] Seq=1 Ack=143 Win=511 Len=0"
"211","0.033545","142.251.2.189","192.168.1.19","TCP","81","[TCP Spurious Retransmission] 443  >  56430 [PSH, ACK] Seq=116 Ack=1 Win=1353 Len=27"
"212","0.000043","192.168.1.19","142.251.2.189","TCP","66","[TCP Dup ACK 210#1] 56430  >  443 [ACK] Seq=1 Ack=143 Win=511 Len=0 SLE=116 SRE=143"
"213","0.010259","192.168.1.19","142.251.2.189","TLSv1.2","1039","Application Data"
"214","0.013336","142.250.68.42","192.168.1.19","TCP","60","443  >  56271 [ACK] Seq=971 Ack=2381 Win=310 Len=0"
"215","0.004461","142.250.68.42","192.168.1.19","TLSv1.2","539","Application Data"
"216","0.031111","192.168.1.19","142.251.40.42","TCP","66","56948  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"217","0.001194","142.251.2.189","192.168.1.19","TCP","60","443  >  56426 [ACK] Seq=1 Ack=986 Win=530 Len=0"
"218","0.011738","192.168.1.19","142.250.68.42","TCP","54","56271  >  443 [ACK] Seq=2381 Ack=1456 Win=511 Len=0"
"219","0.044577","142.251.40.42","192.168.1.19","TCP","66","443  >  56948 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"220","0.000129","192.168.1.19","142.251.40.42","TCP","54","56948  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"221","0.000085","142.251.2.189","192.168.1.19","TLSv1.2","775","Application Data"
"222","0.001411","192.168.1.19","142.251.40.42","TLSv1.3","571","Client Hello (SNI=signaler-pa.clients6.google.com)"
"223","0.007580","142.251.2.189","192.168.1.19","TLSv1.2","105","Application Data"
"224","0.000000","142.251.2.189","192.168.1.19","TLSv1.2","81","Application Data"
"225","0.000075","192.168.1.19","142.251.2.189","TCP","54","56426  >  443 [ACK] Seq=986 Ack=800 Win=512 Len=0"
"226","0.026953","192.168.1.19","142.251.2.189","TLSv1.2","3468","Application Data"
"227","0.005377","199.46.35.122","192.168.1.19","TLSv1.2","78","Application Data"
